,0
624,3.27E-05
625,3.27E-05
626,3.27E-05
627,3.27E-05
628,3.27E-05
629,3.27E-05
630,3.27E-05
566,3.27E-05
601,3.27E-05
600,3.27E-05
631,3.27E-05
598,3.27E-05
568,3.27E-05
569,3.27E-05
570,3.27E-05
571,3.27E-05
572,3.27E-05
573,3.27E-05
574,3.27E-05
575,3.27E-05
576,3.27E-05
577,3.27E-05
578,3.27E-05
579,3.27E-05
580,3.27E-05
581,3.27E-05
582,3.27E-05
599,3.27E-05
584,3.27E-05
597,3.27E-05
596,3.27E-05
595,3.27E-05
594,3.27E-05
593,3.27E-05
592,3.27E-05
583,3.27E-05
591,3.27E-05
589,3.27E-05
588,3.27E-05
587,3.27E-05
586,3.27E-05
585,3.27E-05
590,3.27E-05
770,3.27E-05
769,3.27E-05
767,3.27E-05
768,3.27E-05
771,3.27E-05
772,3.27E-05
773,3.29E-05
774,3.32E-05
775,3.34E-05
776,3.34E-05
777,3.35E-05
778,3.35E-05
779,3.36E-05
780,3.36E-05
781,3.38E-05
782,3.38E-05
783,3.40E-05
784,3.40E-05
785,3.43E-05
786,3.43E-05
787,3.44E-05
788,3.44E-05
789,3.44E-05
790,3.44E-05
791,3.44E-05
792,3.44E-05
793,3.44E-05
794,3.45E-05
795,3.45E-05
796,3.48E-05
797,3.49E-05
798,3.49E-05
799,3.49E-05
800,3.50E-05
801,3.51E-05
802,3.51E-05
803,3.51E-05
804,3.51E-05
805,3.51E-05
806,3.51E-05
807,3.52E-05
808,3.52E-05
809,3.52E-05
810,3.52E-05
811,3.57E-05
812,3.57E-05
813,3.57E-05
814,3.57E-05
815,3.57E-05
816,3.57E-05
817,3.57E-05
818,3.59E-05
819,3.59E-05
820,3.61E-05
821,3.61E-05
822,3.62E-05
823,3.62E-05
824,3.62E-05
825,3.63E-05
826,3.64E-05
827,3.64E-05
828,3.64E-05
829,3.64E-05
830,3.67E-05
832,3.68E-05
831,3.68E-05
833,3.68E-05
947,3.68E-05
948,3.68E-05
949,3.68E-05
950,3.68E-05
951,3.68E-05
952,3.68E-05
953,3.68E-05
954,3.68E-05
946,3.68E-05
955,3.68E-05
957,3.68E-05
958,3.68E-05
959,3.68E-05
960,3.68E-05
961,3.68E-05
962,3.68E-05
963,3.68E-05
964,3.68E-05
956,3.68E-05
965,3.68E-05
945,3.68E-05
943,3.68E-05
924,3.68E-05
925,3.68E-05
926,3.68E-05
927,3.68E-05
928,3.68E-05
929,3.68E-05
930,3.68E-05
931,3.68E-05
944,3.68E-05
932,3.68E-05
934,3.68E-05
935,3.68E-05
937,3.68E-05
938,3.68E-05
939,3.68E-05
940,3.68E-05
941,3.68E-05
942,3.68E-05
933,3.68E-05
966,3.68E-05
967,3.68E-05
968,3.68E-05
992,3.68E-05
993,3.68E-05
994,3.68E-05
995,3.68E-05
996,3.68E-05
997,3.68E-05
998,3.68E-05
999,3.68E-05
991,3.68E-05
1000,3.68E-05
1002,3.68E-05
1003,3.68E-05
1004,3.68E-05
1005,3.68E-05
1006,3.68E-05
1007,3.68E-05
1008,3.68E-05
1009,3.68E-05
1001,3.68E-05
990,3.68E-05
989,3.68E-05
988,3.68E-05
969,3.68E-05
970,3.68E-05
971,3.68E-05
972,3.68E-05
973,3.68E-05
974,3.68E-05
975,3.68E-05
976,3.68E-05
977,3.68E-05
978,3.68E-05
979,3.68E-05
980,3.68E-05
981,3.68E-05
982,3.68E-05
983,3.68E-05
984,3.68E-05
985,3.68E-05
986,3.68E-05
987,3.68E-05
923,3.68E-05
922,3.68E-05
936,3.68E-05
920,3.68E-05
857,3.68E-05
858,3.68E-05
859,3.68E-05
860,3.68E-05
861,3.68E-05
862,3.68E-05
921,3.68E-05
864,3.68E-05
856,3.68E-05
865,3.68E-05
867,3.68E-05
868,3.68E-05
869,3.68E-05
870,3.68E-05
871,3.68E-05
872,3.68E-05
873,3.68E-05
874,3.68E-05
866,3.68E-05
855,3.68E-05
854,3.68E-05
853,3.68E-05
834,3.68E-05
835,3.68E-05
836,3.68E-05
837,3.68E-05
838,3.68E-05
839,3.68E-05
840,3.68E-05
841,3.68E-05
842,3.68E-05
843,3.68E-05
844,3.68E-05
845,3.68E-05
846,3.68E-05
847,3.68E-05
848,3.68E-05
849,3.68E-05
850,3.68E-05
851,3.68E-05
852,3.68E-05
875,3.68E-05
876,3.68E-05
863,3.68E-05
878,3.68E-05
902,3.68E-05
903,3.68E-05
904,3.68E-05
905,3.68E-05
906,3.68E-05
907,3.68E-05
908,3.68E-05
909,3.68E-05
901,3.68E-05
910,3.68E-05
912,3.68E-05
877,3.68E-05
914,3.68E-05
915,3.68E-05
916,3.68E-05
917,3.68E-05
918,3.68E-05
919,3.68E-05
911,3.68E-05
900,3.68E-05
913,3.68E-05
898,3.68E-05
879,3.68E-05
880,3.68E-05
881,3.68E-05
882,3.68E-05
883,3.68E-05
884,3.68E-05
885,3.68E-05
886,3.68E-05
888,3.68E-05
887,3.68E-05
890,3.68E-05
891,3.68E-05
892,3.68E-05
893,3.68E-05
894,3.68E-05
895,3.68E-05
896,3.68E-05
897,3.68E-05
889,3.68E-05
899,3.68E-05
1010,3.69E-05
1011,3.71E-05
1012,3.71E-05
1013,3.71E-05
1015,3.72E-05
1014,3.72E-05
1016,3.72E-05
1017,3.72E-05
1018,3.74E-05
1035,3.74E-05
1034,3.74E-05
1033,3.74E-05
1032,3.74E-05
1031,3.74E-05
1030,3.74E-05
1029,3.74E-05
1028,3.74E-05
1027,3.74E-05
1026,3.74E-05
1025,3.74E-05
1024,3.74E-05
1023,3.74E-05
1022,3.74E-05
1021,3.74E-05
1020,3.74E-05
1019,3.74E-05
1036,3.74E-05
1037,3.75E-05
1038,3.75E-05
1039,3.76E-05
1040,3.76E-05
1041,3.77E-05
1042,3.77E-05
1043,3.77E-05
1044,3.78E-05
1045,3.78E-05
1046,3.79E-05
1047,3.79E-05
1048,3.80E-05
1054,3.81E-05
1053,3.81E-05
1052,3.81E-05
1050,3.81E-05
1049,3.81E-05
1051,3.81E-05
1063,3.82E-05
1055,3.82E-05
1056,3.82E-05
1057,3.82E-05
1058,3.82E-05
1059,3.82E-05
1060,3.82E-05
1061,3.82E-05
1062,3.82E-05
1064,3.82E-05
1065,3.82E-05
1066,3.83E-05
1067,3.84E-05
1068,3.84E-05
1069,3.84E-05
1070,3.86E-05
1071,3.86E-05
1072,3.86E-05
1073,3.88E-05
1074,3.88E-05
1075,3.88E-05
1080,3.89E-05
1079,3.89E-05
1077,3.89E-05
1076,3.89E-05
1078,3.89E-05
1081,3.89E-05
1082,3.89E-05
1083,3.89E-05
1084,3.89E-05
1085,3.89E-05
1086,3.90E-05
1087,3.90E-05
1088,3.91E-05
1089,3.91E-05
1091,3.92E-05
1090,3.92E-05
1092,3.92E-05
1093,3.92E-05
1094,3.93E-05
1145,3.93E-05
1166,3.93E-05
1165,3.93E-05
1164,3.93E-05
1163,3.93E-05
1162,3.93E-05
1161,3.93E-05
1160,3.93E-05
1159,3.93E-05
1158,3.93E-05
1157,3.93E-05
1155,3.93E-05
1154,3.93E-05
1153,3.93E-05
1152,3.93E-05
1151,3.93E-05
1150,3.93E-05
1149,3.93E-05
1148,3.93E-05
1147,3.93E-05
1146,3.93E-05
1156,3.93E-05
1167,3.93E-05
1169,3.93E-05
1170,3.93E-05
1190,3.93E-05
1189,3.93E-05
1188,3.93E-05
1187,3.93E-05
1186,3.93E-05
1185,3.93E-05
1184,3.93E-05
1183,3.93E-05
1182,3.93E-05
1168,3.93E-05
1181,3.93E-05
1179,3.93E-05
1178,3.93E-05
1177,3.93E-05
1176,3.93E-05
1175,3.93E-05
1174,3.93E-05
1173,3.93E-05
1172,3.93E-05
1171,3.93E-05
1180,3.93E-05
1143,3.93E-05
1144,3.93E-05
1141,3.93E-05
1115,3.93E-05
1114,3.93E-05
1113,3.93E-05
1112,3.93E-05
1111,3.93E-05
1110,3.93E-05
1109,3.93E-05
1108,3.93E-05
1107,3.93E-05
1106,3.93E-05
1105,3.93E-05
1104,3.93E-05
1103,3.93E-05
1102,3.93E-05
1101,3.93E-05
1100,3.93E-05
1099,3.93E-05
1098,3.93E-05
1097,3.93E-05
1096,3.93E-05
1095,3.93E-05
1116,3.93E-05
1118,3.93E-05
1117,3.93E-05
1132,3.93E-05
1142,3.93E-05
1140,3.93E-05
1139,3.93E-05
1138,3.93E-05
1137,3.93E-05
1136,3.93E-05
1135,3.93E-05
1134,3.93E-05
1133,3.93E-05
1119,3.93E-05
1131,3.93E-05
1129,3.93E-05
1128,3.93E-05
1127,3.93E-05
1126,3.93E-05
1125,3.93E-05
1124,3.93E-05
1123,3.93E-05
1122,3.93E-05
1121,3.93E-05
1120,3.93E-05
1130,3.93E-05
1191,3.94E-05
1192,3.94E-05
1193,3.95E-05
1194,3.95E-05
1195,3.95E-05
1196,3.95E-05
1197,3.95E-05
1198,3.95E-05
1199,3.95E-05
1200,3.95E-05
1201,3.96E-05
1202,3.96E-05
1203,3.96E-05
1204,3.96E-05
1205,3.96E-05
1206,3.97E-05
1207,3.97E-05
1208,3.97E-05
1209,3.97E-05
1210,3.97E-05
1211,3.98E-05
1212,3.98E-05
1213,3.98E-05
1214,3.99E-05
1215,3.99E-05
1216,3.99E-05
1217,3.99E-05
1218,4.00E-05
1219,4.00E-05
1220,4.00E-05
1221,4.00E-05
1222,4.01E-05
1223,4.01E-05
1224,4.01E-05
1225,4.01E-05
1226,4.02E-05
1227,4.02E-05
1228,4.02E-05
1229,4.02E-05
1230,4.02E-05
1231,4.02E-05
1232,4.02E-05
1233,4.02E-05
1234,4.02E-05
1235,4.03E-05
1236,4.03E-05
1237,4.03E-05
1238,4.03E-05
1239,4.03E-05
1240,4.04E-05
1241,4.04E-05
1242,4.04E-05
1243,4.04E-05
1244,4.05E-05
1245,4.05E-05
1246,4.06E-05
1247,4.06E-05
1248,4.06E-05
1249,4.06E-05
1250,4.06E-05
1251,4.07E-05
1252,4.07E-05
1253,4.07E-05
1254,4.07E-05
1255,4.07E-05
1256,4.08E-05
1257,4.08E-05
